candidate_id,trace_role,predicted_success,proxy_total_cost,risk_score
mofsimplify_solvent_test_00146_ICITEU,selected,0.63568940861759415,1.5729408469119459,0.6552569101986474
mofsimplify_solvent_test_00021_BADYAJ,selected,0.69798925080609964,1.9574520008393663,0.59287285130475009
mofsimplify_solvent_val_00290_VACLIX,selected,0.70318791116705515,1.9839882983989821,0.58708556471738782
mofsimplify_solvent_test_00327_SERWAP,selected,0.64448557013042318,1.7583035229238102,0.64720557503440479
mofsimplify_solvent_test_00036_BUPVEP,selected,0.68750773175355229,1.9997463251244583,0.60426085284168973
mofsimplify_solvent_test_00015_AVILEY,logged_alternative,0.67308702233106199,2.0428489508449816,0.6193271071813049
mofsimplify_solvent_val_00219_PAMHIW,logged_alternative,0.57490409340261228,1.4318968631475728,0.70442298342619969
mofsimplify_solvent_test_00431_ZASJAG,logged_alternative,0.5627043760046474,1.3667767557070327,0.7129604046104463
mofsimplify_solvent_test_00384_WILHIK,logged_alternative,0.56517792812088896,1.3911498291011313,0.71126475673863077
mofsimplify_solvent_test_00407_XOGXAU,logged_alternative,0.56339971530913102,1.4158767961177929,0.71248555500173538
mofsimplify_solvent_test_00075_EBIJAC,logged_alternative,0.55353572152549835,1.3598999059924015,0.71908933222723437
mofsimplify_solvent_test_00044_CAYKEU,logged_alternative,0.57865960057601729,1.5653486901667999,0.70170657545037507
mofsimplify_solvent_val_00102_HADQUA,logged_alternative,0.59499731742756601,1.6929357097385656,0.68940227036516677
mofsimplify_solvent_val_00152_KUKPOX,logged_alternative,0.56243816386098311,1.4948164710060796,0.71314182657672465
mofsimplify_solvent_val_00348_ZUQMAB,logged_alternative,0.53569428088290394,1.3129377724046507,0.73031318376520871
mofsimplify_solvent_val_00261_SIYXIH10,logged_alternative,0.57032179133699157,1.5818028212457627,0.70768104629148776
mofsimplify_solvent_test_00257_OKUSUK,logged_alternative,0.65943224400908307,2.1582000755243085,0.63296436425278446
mofsimplify_solvent_val_00277_UDEGIW,logged_alternative,0.54658550928782679,1.4285953996886929,0.72357174893687093
mofsimplify_solvent_val_00056_EBUREA,logged_alternative,0.54425563211128014,1.4144685303701674,0.72504287671555134
mofsimplify_solvent_val_00315_WURNOO,logged_alternative,0.53886458500302203,1.379027267194473,0.72838638052720017
mofsimplify_solvent_val_00258_SENVIR,logged_alternative,0.57039705363134363,1.6147920390314858,0.70762803374812144
mofsimplify_solvent_val_00013_AVIPAX,logged_alternative,0.53791399281846719,1.3802372098307858,0.72896717955485713
mofsimplify_solvent_test_00161_JEJWOL,logged_alternative,0.64329607779180764,2.0969690970219474,0.64830852998850874
mofsimplify_solvent_test_00200_LIFSAW,logged_alternative,0.59086030959362912,1.7675861438906053,0.69259310537398167
mofsimplify_solvent_test_00038_BUSQIQ,logged_alternative,0.55176329650540923,1.495919450320639,0.72024580369409286
