candidate_id,outcome_binary,pc1,pc2
mofsimplify_solvent_val_00013_AVIPAX,0,-1.73872792791149,-2.8674484485524219
mofsimplify_solvent_val_00031_CAWZUX,0,20.924612556605666,-4.4127411587910652
mofsimplify_solvent_val_00033_COJHIT,0,0.2618073273487358,-4.5599874009363477
mofsimplify_solvent_val_00034_COPXOV,1,-0.67796810935133356,-4.2184474346189074
mofsimplify_solvent_val_00038_DAMYOI,0,1.554232654998372,-2.0623253897314053
mofsimplify_solvent_val_00046_DUBBEI,1,-2.0748505772880672,-2.9751072766538296
mofsimplify_solvent_val_00048_DUDZOT,1,-3.1830781480311172,2.3199221324632537
mofsimplify_solvent_val_00056_EBUREA,1,-2.9490392484558665,1.6361542296523055
mofsimplify_solvent_val_00058_ECEZAO01,1,-2.5506132698695825,-4.2405115502956514
mofsimplify_solvent_val_00059_EDIKIL,1,-2.3539210550798666,-4.8858997017491204
mofsimplify_solvent_val_00072_EXAXAE,1,-1.8878484945575558,-4.4890425295652792
mofsimplify_solvent_val_00076_FATQID,1,-1.4282095646705302,-1.9390907326064724
mofsimplify_solvent_val_00081_FIFNUE,1,-2.5514674241356352,-6.1010821964880328
mofsimplify_solvent_val_00082_FIFPAM,1,-2.5692847955056193,-6.1622797632140616
mofsimplify_solvent_val_00090_GARQAU,0,-2.316651898749567,0.25855618162237887
mofsimplify_solvent_val_00097_GIXGOK,0,0.085314700981349065,-3.5915232408817777
mofsimplify_solvent_val_00099_GUKFEY,0,-0.63237350324673958,7.4248410467334507
mofsimplify_solvent_val_00100_GUPBEZ02,1,112.95755473027982,3.7656271885601558
mofsimplify_solvent_val_00102_HADQUA,0,-0.60507484819124457,0.5777590586057445
mofsimplify_solvent_val_00107_HIMSAY,0,-2.6137572675399761,-2.7547548910768729
mofsimplify_solvent_val_00118_IPIHIA,1,-2.7674567588251531,0.095949725807294606
mofsimplify_solvent_val_00139_KAVTUY,1,-1.9209498468783865,7.9923268701298928
mofsimplify_solvent_val_00141_KEGZOL,0,-4.507426751710784,-6.9022512962533478
mofsimplify_solvent_val_00145_KILJEV,0,-1.2450823338987489,6.3880071230639111
mofsimplify_solvent_val_00149_KIYJAF,1,-2.1457118865920504,0.1888137051497713
mofsimplify_solvent_val_00150_KOMHAW,1,-1.5311744649638763,-3.156152003611771
mofsimplify_solvent_val_00152_KUKPOX,0,0.6565811244883385,2.9005276675076592
mofsimplify_solvent_val_00161_LIXWEV,0,-3.1685729387274293,-0.46216679278517864
mofsimplify_solvent_val_00162_LUJBAV,0,1.7903505927634826,-0.74703945400614391
mofsimplify_solvent_val_00171_MAPHAP,0,-1.1204287875073069,-3.4591416654575911
mofsimplify_solvent_val_00174_MONQIR,1,-0.4657008209872312,-2.4080728858131684
mofsimplify_solvent_val_00175_MONWET,0,-1.9310199953449985,0.57234394829310475
mofsimplify_solvent_val_00177_MOYYEF,0,-3.0747059846370095,-3.6724658967214068
mofsimplify_solvent_val_00180_NATHUO,1,-3.5208060073725607,0.096665159590053354
mofsimplify_solvent_val_00184_NEXVET,0,-1.7021351919267238,-3.8388112796870368
mofsimplify_solvent_val_00191_NUNCEG,0,-3.7318481899977924,30.201985820926804
mofsimplify_solvent_val_00200_OMAMEU,0,-3.2805905473179258,-0.77974202000687631
mofsimplify_solvent_val_00202_OMOVET,0,0.78846775452685114,-3.4983994320435783
mofsimplify_solvent_val_00203_ORANAY,1,8.5781187084359569,-4.1521460659773695
mofsimplify_solvent_val_00210_OVIWIA,1,1.9596717803836667,7.075776024287328
mofsimplify_solvent_val_00219_PAMHIW,0,-2.5918589533024017,4.5168860846157664
mofsimplify_solvent_val_00225_POZHUI,0,-0.80652995742058642,-2.5030167168047175
mofsimplify_solvent_val_00231_QITZIE,0,-2.2166787697435231,-1.8798191443789714
mofsimplify_solvent_val_00238_QOPPOC,1,-4.1935711412841679,-1.5479144889229486
mofsimplify_solvent_val_00239_QOXFIU,0,15.287513808153532,2.5552410224163817
mofsimplify_solvent_val_00245_REWNEO01,1,-3.2582433146098704,7.2763655372729943
mofsimplify_solvent_val_00258_SENVIR,0,-2.4592337415875858,3.4934102374010547
mofsimplify_solvent_val_00260_SEVLEM,1,59.250382807204566,3.7758418410529249
mofsimplify_solvent_val_00261_SIYXIH10,0,-1.003893919176629,-5.090320428229429
mofsimplify_solvent_val_00262_SOCNAB,0,-2.2591871588901911,1.6963349067074167
