candidate_id,model_split,observed_thermal_T_C,predicted_thermal_T_C,absolute_error_C
mofsimplify_thermal_val_00001_OSUVOP,val,345.73781709999997,410.71324264496008,64.975425544960103
mofsimplify_thermal_val_00002_XICNOO01,val,397.91304350000001,341.38904884086048,56.523994659139532
mofsimplify_thermal_val_00003_NEYYUN,val,367.73958479999999,320.02300574166998,47.716579058330012
mofsimplify_thermal_val_00004_YUKVIK,val,264.70588240000001,261.53182228157459,3.174060118425416
mofsimplify_thermal_val_00005_FAPXOM,val,539.06149400000004,407.81554657590914,131.2459474240909
mofsimplify_thermal_val_00006_KOMHAW,val,301.24841470000001,313.62937974166397,12.380965041663956
mofsimplify_thermal_val_00007_ESASEY,val,372.61811019999999,363.44457301357659,9.1735371864234025
mofsimplify_thermal_val_00008_YEMLOS,val,392.89678140000001,315.8530706656282,77.043710734371814
mofsimplify_thermal_val_00009_HOTWUJ,val,416.61721499999999,385.0455756692503,31.57163933074969
mofsimplify_thermal_val_00010_SUJNUH,val,320.49152609999999,341.66439740009037,21.172871300090378
mofsimplify_thermal_val_00011_FIRMUQ,val,294.35294119999998,346.48787495145456,52.134933751454582
mofsimplify_thermal_val_00012_MIMVEJ,val,352.49783910000002,347.5765742861945,4.9212648138055215
mofsimplify_thermal_val_00013_HIGRIA,val,424.58418649999999,396.24920792170337,28.334978578296614
mofsimplify_thermal_val_00014_XOVQEF,val,381.34534810000002,353.54056341485375,27.804784685146274
mofsimplify_thermal_val_00015_FULQOT,val,457.56290639999997,416.73731349586268,40.825592904137295
mofsimplify_thermal_val_00016_GONTAG,val,180.3633653,386.96377800306402,206.60041270306402
mofsimplify_thermal_val_00017_DARJOX,val,475.3153294,417.46737544108004,57.847953958919959
mofsimplify_thermal_val_00018_XEQRAO,val,406.78386089999998,398.56978372357491,8.2140771764250644
mofsimplify_thermal_val_00019_EXEQII,val,533.30792210000004,404.13967175278071,129.16825034721933
mofsimplify_thermal_val_00020_JUJZEV,val,350.34599470000001,330.70391661741041,19.642078082589592
mofsimplify_thermal_val_00021_TISPAO,val,251.04334990000001,323.06262704047026,72.019277140470251
mofsimplify_thermal_val_00022_QOSJOZ,val,296.50666319999999,332.8147806641328,36.308117464132806
mofsimplify_thermal_val_00023_ATUXOE,val,480.48097810000002,396.40411656221204,84.076861537787977
mofsimplify_thermal_val_00024_TOBJUR,val,332.08947069999999,346.66622141378298,14.576750713782985
mofsimplify_thermal_val_00025_QADWEA,val,397.48602149999999,338.48283834723446,59.00318315276553
mofsimplify_thermal_val_00026_SIWTOJ,val,367.5305032,354.07113024122248,13.459372958777521
mofsimplify_thermal_val_00027_HOWQEQ,val,466.0704131,335.47007956759541,130.60033353240459
mofsimplify_thermal_val_00028_ROLCEC14,val,130.00729129999999,247.81111278059672,117.80382148059672
mofsimplify_thermal_val_00029_ISIYOZ,val,315.02553790000002,306.66024368763891,8.3652942123611069
mofsimplify_thermal_val_00030_LIDZOP,val,516.49729000000002,444.01661927155482,72.480670728445205
mofsimplify_thermal_val_00031_SIZNIA,val,324.28538980000002,330.86055435010178,6.5751645501017606
mofsimplify_thermal_val_00032_HUMWIX,val,264.3658537,387.25651647946557,122.89066277946557
mofsimplify_thermal_val_00033_ASINAT,val,413.3328631,363.03608909833952,50.296774001660481
mofsimplify_thermal_val_00034_LUFNAC02,val,392.7690245,328.33202856758527,64.436995932414732
